127.0.0.1 - - [05/Dec/2020:11:55:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/mainPage/index.jsp HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/css/kfonts2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/css/bootstrap.min.css HTTP/1.1" 200 99968
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/mainPage.do HTTP/1.1" 200 7412
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/mainPage/img/%EB%B0%98%ED%8C%94.JPG HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/mainPage/img/%EB%B0%98%EB%B0%94%EC%A7%80.JPG HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/mainPage/img/%EC%A1%B0%EB%81%BC.JPG HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:55:50 +0900] "GET /web/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:29 +0900] "GET /web/mainPage.do HTTP/1.1" 200 7385
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:29 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:29 +0900] "GET /web/mainPage/img/%EB%B0%98%ED%8C%94.JPG HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:29 +0900] "GET /web/mainPage/img/%EC%A1%B0%EB%81%BC.JPG HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:29 +0900] "GET /web/mainPage/img/%EB%B0%98%EB%B0%94%EC%A7%80.JPG HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:29 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:29 +0900] "GET /web/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:29 +0900] "GET /web/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:41 +0900] "GET /web/productDetail.do?p_no=1 HTTP/1.1" 200 8780
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:41 +0900] "GET /web/css/maincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:41 +0900] "GET /web/img/%EB%B0%98%ED%8C%94.JPG HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:41 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:41 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:59 +0900] "GET /web/SignIn2.jsp HTTP/1.1" 200 10223
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:59 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:56:59 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:03 +0900] "POST /web/loginCheck.do HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:03 +0900] "GET /web/mainPage.do HTTP/1.1" 200 7389
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:03 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:03 +0900] "GET /web/mainPage/img/%EB%B0%98%ED%8C%94.JPG HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:03 +0900] "GET /web/mainPage/img/%EC%A1%B0%EB%81%BC.JPG HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:03 +0900] "GET /web/mainPage/img/%EB%B0%98%EB%B0%94%EC%A7%80.JPG HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:03 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:03 +0900] "GET /web/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:04 +0900] "GET /web/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:06 +0900] "GET /web/productDetail.do?p_no=1 HTTP/1.1" 200 8778
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:06 +0900] "GET /web/img/%EB%B0%98%ED%8C%94.JPG HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:06 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:06 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:08 +0900] "GET /web/qnaWrite.do?p_no=1 HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:08 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:08 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [05/Dec/2020:11:57:19 +0900] "POST /web/qnaInsert.do HTTP/1.1" 302 -
