127.0.0.1 - - [23/Nov/2020:10:13:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/wishList.jsp HTTP/1.1" 200 6735
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/css/maincss.css HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/p/css/maincss.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/img/knit.jpg HTTP/1.1" 200 1027607
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/img/cart.png HTTP/1.1" 200 421569
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/img/denim.jpg HTTP/1.1" 200 858155
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/img/instagram.png HTTP/1.1" 200 79043
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/img/facebook.png HTTP/1.1" 200 17677
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/img/korea-flag.png HTTP/1.1" 200 45723
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/img/american-flag.png HTTP/1.1" 200 34506
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/img/china-flag.png HTTP/1.1" 200 18071
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:07 +0900] "GET /web/img/japan-flag.png HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:08 +0900] "GET /web/img/youtube.png HTTP/1.1" 200 9754
0:0:0:0:0:0:0:1 - - [23/Nov/2020:10:13:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
