127.0.0.1 - - [20/Nov/2020:15:04:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:04:18 +0900] "GET /web/notice.jsp HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:04:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:04:43 +0900] "GET /web/wishList.jsp HTTP/1.1" 200 2972
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:04:43 +0900] "GET /web/knit.jpg HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:04:43 +0900] "GET /web/denim.jpg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:04:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:05:12 +0900] "GET /web/wishList.jsp HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:05:12 +0900] "GET /web/knit.jpg HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:05:12 +0900] "GET /web/img/denim.jpg HTTP/1.1" 200 858155
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:05:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:06:00 +0900] "GET /web/wishList.jsp HTTP/1.1" 200 2980
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:06:00 +0900] "GET /web/img/knit.jpg HTTP/1.1" 200 1027607
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:06:00 +0900] "GET /web/img/denim.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:06:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/index.html HTTP/1.1" 200 9094
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 185029
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/css/shop-homepage.css HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/cart.png HTTP/1.1" 200 421569
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/mainBanner.jpg HTTP/1.1" 200 1052771
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/kitty1.jpg HTTP/1.1" 200 224702
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/vendor/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/cat1.jpg HTTP/1.1" 200 55631
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/mountains1.jpg HTTP/1.1" 200 165174
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/cat4.jpg HTTP/1.1" 200 54109
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/cat2.jpg HTTP/1.1" 200 158906
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/cat6.jpg HTTP/1.1" 200 62741
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/korea-flag.png HTTP/1.1" 200 45723
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/facebook.png HTTP/1.1" 200 17677
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/american-flag.png HTTP/1.1" 200 34506
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/instagram.png HTTP/1.1" 200 79043
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/china-flag.png HTTP/1.1" 200 18071
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/japan-flag.png HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:12 +0900] "GET /web/mainPage/img/youtube.png HTTP/1.1" 200 9754
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:37 +0900] "GET /web/mainPage/index.html HTTP/1.1" 200 9076
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:37 +0900] "GET /web/mainPage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:37 +0900] "GET /web/mainPage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:07:38 +0900] "GET /web/mainPage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:09 +0900] "GET /web/wishList.jsp HTTP/1.1" 200 4689
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:09 +0900] "GET /web/css/shop-homepage.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:09 +0900] "GET /web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:09 +0900] "GET /web/img/cart.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:09 +0900] "GET /web/img/knit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:09 +0900] "GET /web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:09 +0900] "GET /web/css/shop-homepage.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:09 +0900] "GET /web/img/denim.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:17 +0900] "GET /web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:17 +0900] "GET /web/css/shop-homepage.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:56 +0900] "GET /web/wishList.jsp HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:56 +0900] "GET /web/css/shop-homepage.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:56 +0900] "GET /web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:56 +0900] "GET /web/img/cart.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:56 +0900] "GET /web/img/knit.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:56 +0900] "GET /web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:56 +0900] "GET /web/css/shop-homepage.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:56 +0900] "GET /web/img/denim.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:57 +0900] "GET /web/wishList.jsp HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:57 +0900] "GET /web/css/shop-homepage.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:57 +0900] "GET /web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:57 +0900] "GET /web/img/cart.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [20/Nov/2020:15:08:57 +0900] "GET /web/css/shop-homepage.css HTTP/1.1" 404 840
