127.0.0.1 - - [09/Dec/2020:13:18:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:35 +0900] "GET /web/mainPage/index.jsp HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:35 +0900] "GET /web/css/kfonts2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:35 +0900] "GET /web/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:36 +0900] "GET /web/mainPage.do HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:36 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:36 +0900] "GET /web/mainPage/img/%EB%B0%98%ED%8C%94.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:36 +0900] "GET /web/mainPage/img/%EB%B0%98%EB%B0%94%EC%A7%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:36 +0900] "GET /web/mainPage/img/%EC%A1%B0%EB%81%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:36 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:36 +0900] "GET /web/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:36 +0900] "GET /web/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:43 +0900] "GET /web/qnaList.do HTTP/1.1" 200 10967
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:44 +0900] "GET /web/css/maincss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:44 +0900] "GET /web/img/%EC%A1%B0%EB%81%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:44 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:44 +0900] "GET /web/img/%EB%B0%98%ED%8C%94.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:44 +0900] "GET /web/img/skirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:44 +0900] "GET /web/img/%EB%B0%98%EB%B0%94%EC%A7%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:18:44 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:36 +0900] "GET /web/qnaInfo.do?q_no=5&q_pnum=5 HTTP/1.1" 200 6880
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:36 +0900] "GET /web/shop/css/bootstrap.min.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:36 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:37 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:43 +0900] "GET /web/qnaList.do HTTP/1.1" 200 10967
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:43 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:43 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:47 +0900] "GET /web/qnaInfo.do?q_no=3&q_pnum=3 HTTP/1.1" 200 6890
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:47 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:47 +0900] "GET /web/shop/css/bootstrap.min.js HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:47 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:51 +0900] "GET /web/qnaList.do HTTP/1.1" 200 10967
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:51 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:51 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:53 +0900] "GET /web/SignIn2.jsp HTTP/1.1" 200 10296
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:53 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:53 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:57 +0900] "POST /web/loginCheck.do?state=login HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:57 +0900] "GET /web/mainPage.do HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:57 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:57 +0900] "GET /web/shop/js/bootstrap.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:57 +0900] "GET /web/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:23:57 +0900] "GET /web/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [09/Dec/2020:13:24:01 +0900] "GET /web/qnaList.do HTTP/1.1" 200 10975
