0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/mainBanner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/mountains1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/cat2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/cat4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/cat6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/korea-flag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/american-flag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/china-flag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/japan-flag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:57 +0900] "GET /web/mainPage/img/youtube.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:59 +0900] "GET /web/mainPage/index.html HTTP/1.1" 200 9319
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:37:59 +0900] "GET /web/mainPage/img/logo_noname.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:38:00 +0900] "GET /web/mainPage/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2020:17:38:00 +0900] "GET /web/mainPage/img/logo_noname.jpg HTTP/1.1" 404 851
